city,census
New York city New York,8175133
Los Angeles city California,3792621
Chicago city Illinois,2695598
Houston city Texas,2099451
Phoenix city Arizona,1445632
Philadelphia city Pennsylvania,1526006
San Antonio city Texas,1327407
San Diego city California,1307402
Dallas city Texas,1197816
San Jose city California,945942
Austin city Texas,790390
Jacksonville city Florida,821784
Fort Worth city Texas,741206
Columbus city Ohio,787033
Charlotte city North Carolina,731424
San Francisco city California,805235
Indianapolis city (balance) Indiana,820445
Seattle city Washington,608660
Denver city Colorado,600158
Washington city District of Columbia,601723
Boston city Massachusetts,617594
El Paso city Texas,649121
Nashville-Davidson metropolitan government (balance) Tennessee,601222
Detroit city Michigan,713777
Oklahoma City city Oklahoma,579999
Portland city Oregon,583776
Las Vegas city Nevada,583756
Memphis city Tennessee,646889
Louisville/Jefferson County metro government (balance) Kentucky,597337
Baltimore city Maryland,620961
Milwaukee city Wisconsin,594833
Albuquerque city New Mexico,545852
Tucson city Arizona,520116
Fresno city California,494665
Mesa city Arizona,439041
Sacramento city California,466488
Atlanta city Georgia,420003
Kansas City city Missouri,459787
Colorado Springs city Colorado,416427
Omaha city Nebraska,408958
Raleigh city North Carolina,403892
Miami city Florida,399457
Long Beach city California,462257
Virginia Beach city Virginia,437994
Oakland city California,390724
Minneapolis city Minnesota,382578
Tulsa city Oklahoma,391906
Tampa city Florida,335709
New Orleans city Louisiana,343829
Wichita city Kansas,382368
Bakersfield city California,347483
Cleveland city Ohio,396815
Aurora city Colorado,3
